type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,14:24:11,52.35959178,4.952316564,-0.4,2.5,23.98,114.2,1.467,6.26,,,
T,14:24:20,52.3595585,4.952417649,-0.3,3.1,19.18,118.3,1.475,7.82,,,
T,14:24:28,52.3595062,4.952491075,0.8,3.5,17.37,139.4,1.482,7.67,,,
T,14:24:36,52.35944258,4.952536756,0.5,3.5,17.24,156.3,1.49,7.73,,,
T,14:24:46,52.35936429,4.952588137,0.1,3.4,17.75,158.2,1.499,9.39,,,
T,14:24:54,52.35935658,4.9525904,0.2,0.4,152.94,169.8,1.5,0.87,,,
T,14:25:05,52.35932482,4.952614289,0.2,1.3,47.11,155.3,1.504,3.89,,,
T,14:25:18,52.35927704,4.952620408,0.4,1.5,40.63,175.5,1.509,5.33,,,
T,14:25:30,52.35923194,4.952633986,0.2,1.5,39.2,169.6,1.515,5.1,,,
T,14:25:32,52.35920889,4.952637758,0.4,4.6,12.93,174.3,1.517,2.58,,,
T,14:25:43,52.35907755,4.952601045,0.8,4.9,12.36,189.7,1.532,14.83,,,
T,14:25:52,52.35902256,4.952557292,0.4,2.7,22.04,205.9,1.539,6.81,,,
